ENOTA,OG_MID,OG_ID,OG_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
OG,1,5,CELJE,,1970/01/01,1970/01/01,V,0,0
OG,2,42,NOVO MESTO,,1970/01/01,1970/01/01,V,0,0
OG,3,46,SEVNICA,,1970/01/01,1970/01/01,V,0,0
OG,4,71,KRANJ,,1970/01/01,1970/01/01,V,0,0
OG,5,29,MARIBOR,,1970/01/01,1970/01/01,V,0,0
OG,6,26,LJUBLJANA,,1970/01/01,1970/01/01,V,0,0
OG,7,37,NOVA GORICA,,1970/01/01,1970/01/01,V,0,0
OG,8,79,PTUJ,,1970/01/01,1970/01/01,V,0,0
OG,9,9,KOPER,,1970/01/01,1970/01/01,V,0,0
OG,10,32,MURSKA SOBOTA,,1970/01/01,1970/01/01,V,0,0
OG,11,56,VELENJE,,1970/01/01,1970/01/01,V,0,0
OG,12,80,SLOVENJ GRADEC,,1970/01/01,1970/01/01,V,0,0
